Job Title,Job Category,Date Posted,Company Name,Job Location,Job Expired Date,Minimal Salary,Maximal Salary,Employment Type,Job URL
Mandarin Translator,"Legal, Consulting & Translation",11-10-2023,PT Halmahera Persada Lygend (Harita Group),Halmahera Selatan,2023-11-12,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/mandarin-translator/67bdc5c9-4f5d-47f1-b823-ae5b9cef4ee1
Frontend Web Developer (Reactjs & ElectronJS),Computer & Information Technology,17-10-2023,Ur (pt. Rahmat Tuhan Lestari),Bandung,2023-11-17,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/frontend-web-developer-reactjs-and-electronjs/175c78d3-abd5-4450-88fb-d975f8a07632
SPG/SPB,Retail,19-10-2023,PT. Indo Elang Kreasi,Jakarta Pusat,2023-11-19,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/spg-spb/f5692601-c151-4985-be60-631f1ea954a9
Video Editor and Personal Branding Tiktokers Willie Salim,Journalist & Editor,20-10-2023,PT MARI KITA BORONG,Jakarta Barat,2023-11-20,4500000,4900000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/video-editor-and-personal-branding-tiktokers-willie-salim/1fd500e1-3176-4e69-a747-674838b22e1e
IT Governance & Compliance Staff,Computer & Information Technology,19-10-2023,"PT Tunas Ridean, Tbk",Jakarta Selatan,2023-11-19,,,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/it-governance-and-compliance-staff/b7b8b46b-e169-4934-8f86-2b1bf3ab538d
K2 Workflow (.Net),Computer & Information Technology,16-10-2023,PT ELISTEC INFORMATIKA UTAMA ,Bandung,2023-11-16,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/k2-workflow-net/63132dc8-5107-41f0-a131-51e6a55cd058
Mice Manager,General Management,12-10-2023,Bali Pro Agency ,Badung,2023-11-12,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/mice-manager/d56b4a42-0be2-4145-a21f-9dd6b2104e46
Tax Accountant,Accounting & Finance,19-10-2023,Edwin Consultants,Surabaya,2023-11-19,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/tax-accountant/729ea284-61a8-4d8c-b4ca-a5c6a0f4a4e1
Sales Promotor Printer,Business Development & Sales,19-10-2023,Activate Asia Group,Padang,2023-11-19,3000000,7000100,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-promotor-printer/b333d5d3-566f-4604-8364-c1de5e754607
Sales Promotor Printer,Business Development & Sales,19-10-2023,Activate Asia Group,Makassar,2023-11-19,3000000,7000100,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-promotor-printer/8e4aa538-f462-408b-83a2-fb47c8ca1fae
Operator Stone Crusher,Building & Construction,19-10-2023,PT Deswita Ayu Sudarmala,Denpasar,2023-11-19,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/operator-stone-crusher/bd978aa9-75c1-4150-8395-8cebe554f751
Sosial Media Marketing,Digital Marketing,18-10-2023,PT TIGA BERLIAN MANDIRI (TIBERMAN),Surabaya,2023-11-18,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sosial-media-marketing/481abfe5-e89b-47d5-81f8-3cf61c654332
Sales Promotor Hitachi,Retail,19-10-2023,PT SWAPRO INTERNATONAL,Jakarta Timur,2023-11-19,4900000,4900100,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/sales-promotor-hitachi/b772f15a-aadc-4344-9e44-b34953770a20
Sales Showroom,Car Services,19-10-2023,PT Smoot Motor Indonesia,Jakarta Barat,2023-11-19,,,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/sales-showroom/8f8af7bb-004f-4cf4-8da1-505f847b7d26
SPG dan SPB,Car Services,19-10-2023,PT Smoot Motor Indonesia,Jakarta Barat,2023-11-19,,,CONTRACTOR,https://glints.com/id/en/opportunities/jobs/spg-dan-spb/196320e1-9c4c-4626-b80f-ba3f7dfc6485
Design Graphic & Videogrpher,Arts & Creative,21-10-2023,Gold Cemerlang Indonesia,Surabaya,2023-11-21,4000000,4500000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/design-graphic-and-videogrpher/a85ae31c-ca4d-40dc-994b-7910a43dcda0
Sales Executive,Business Development & Sales,20-10-2023,PT Samator Indo Gas Tbk,Jember,2023-11-20,4000000,5000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/sales-executive/090ecd85-ee13-45eb-a26b-42882405eea5
Perawat,Healthcare,21-10-2023,Klinik Apollo ,Jakarta Pusat,2023-11-21,3500000,4900000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/perawat/758ceee1-5690-452f-b7e2-32de8879f18e
Live Streaming Agent,Arts & Creative,16-10-2023,PT Pick Arpu Technology,Jakarta Utara,2023-11-16,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/live-streaming-agent/77a7d9c7-5d87-4a7d-b45e-9b10d54e52ba
Helper Rigging Lifting,Manufacturing & Production,20-10-2023,PT Karya Usaha Baru,Lamongan,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/helper-rigging-lifting/08c36f8c-a6a4-4fc7-be8d-fb50a0ff3a14
Perawat Lansia,Services Industry,19-10-2023,BIG Homecare,Kediri,2023-11-19,2500000,7000000,FULL_TIME,https://glints.com/id/en/opportunities/jobs/perawat-lansia/17aa4824-d431-49a7-a9b0-3fc51b93d8d7
Desainer Interior,Architect & Interior Design,20-10-2023,KABS Interior,Bekasi,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/desainer-interior/694fd90d-0bb2-495a-b1f2-5a71725060e5
REVISI,Manufacturing & Production,20-10-2023,PT Karya Usaha Baru,Gresik,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/revisi/1f705fd6-1222-4950-8cab-f53c4cf8191a
PACKING,Manufacturing & Production,20-10-2023,PT Karya Usaha Baru,Gresik,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/packing/86c303df-fcf8-4dec-aeff-0133cfd236ad
TALLY,Manufacturing & Production,20-10-2023,PT Karya Usaha Baru,Gresik,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/tally/e5c121d9-1fd6-4522-84d4-4c13be94a310
Videographer & Video Editor,Arts & Creative,20-10-2023,Dicoding Indonesia,Bandung,2023-11-20,,,FULL_TIME,https://glints.com/id/en/opportunities/jobs/videographer-and-video-editor/7ac3cb55-f560-4cee-ad3a-66d8495a50f0
